name,name_variant_ENA,corresponding_DwC,name_origin,MIxS_section,DwC_section,expected_unit,synonyms,definition,polaaar_emof,polaaar_template,polaaarDB_environment,MIxS_core,DwC_Event,DwC_Occurrence,DwC_eMoF,air,built_environment,host_associated,human_associated,human_gut,human_oral,human_skin,human_vaginal,microbial_mat_biofilm,miscellaneous_natural_or_artificial_environment,plant_associated,sediment,soil,wastewater_sludge,water
eventID,,eventID,DwC,miscellaneous,Event,alphanumeric,eventid;event;dwc_event,An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set. ,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parentEventID,,parentEventID,DwC,miscellaneous,Event,alphanumeric,parenteventid;parentevent;parent_sample;parentsample,An event identifier for the super event which is composed of one or more sub-sampling events. The value must refer to an existing eventID. If the identifier is local it must exist within the given dataset. May be a globally unique identifier or an identifier specific to the data set. ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eventRemarks,,eventRemarks,DwC,miscellaneous,Event,alphanumeric,eventremarks,Comments or notes about the Event. ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samplingProtocol,,samplingProtocol,DwC,miscellaneous,Event,alphanumeric,samplingProtocol,The name of; reference to; or description of the method or protocol used during an Event. ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decimalLatitude,geographic location (latitude),decimalLatitude,DwC,miscellaneous,Location,decimalCoordinates,latitude;decimallatitude;decimal_latitude;latitude_end;geographic_location_latitude;lat,The geographic latitude (in decimal degrees; using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator; negative values are south of it. Legal values lie between -90 and 90; inclusive. ,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decimalLongitude,geographic location (longitude),decimalLongitude,DwC,miscellaneous,Location,decimalCoordinates,longitude;decimallongitude;decimal_longitude;longitude_end;geographic_location_longitude;lon;long,The geographic longitude (in decimal degrees; using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian; negative values are west of it. Legal values lie between -180 and 180; inclusive. ,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprintWKT,,footprintWKT,DwC,miscellaneous,Location,alphanumeric,footprintwkt,A Well-Known Text (WKT) representation of the shape (footprint; geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation; and they may differ from each other. ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
locality,,locality,DwC,miscellaneous,Location,alphanumeric,locality;geographic_location_region_and_locality;geo_loc_name_locality,The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography; continent; country; stateProvince; county; municipality; waterBody; island; islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description. ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedReferences,,associatedreferences;references,DwC,miscellaneous,MaterialSample,alphanumeric,associatedreferences,A list (concatenated and separated) of identifiers (publication; bibliographic reference; global unique identifier; URI) of literature associated with the Occurrence. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organismQuantity,,organismQuantity,DwC,miscellaneous,Occurrence,alphanumeric,organismquantity;bacteria_count;organism_count,A number or enumeration value for the quantity of organisms (or microorganism cells).,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
